 DEPTH          GR                SP              CAL            LLD             LLS             AC                DEN           CNL
2551.250    81.7970      -73.4050     23.1920     52.1814      61.3208      201.4000      2.4140       12.1660   
2551.375    89.5425      -73.4670     23.3210     47.2226      53.9067      206.4150      2.3580       15.2520   
2551.500    100.3392     -73.5100     23.5090     36.0626      40.4510      215.4920      2.2540       19.6010   
2551.625    111.7227     -73.5460     23.6390     26.7184      29.8339      227.3380      2.2160       23.8900   
2551.750    126.2748     -74.5910     23.7450     19.3669      24.7432      240.2460      2.3250       27.7360   
2551.875    140.5922     -75.6640     23.7920     21.5117      23.6035      235.4310      2.4030       29.9610   
2552.000    142.4550     -77.4730     23.2980     23.2613      25.8359      230.5380      2.5470       32.3530   
2552.125    146.8071     -78.9220     23.0150     26.5810      27.4208      224.7540      2.5690       31.0670   
2552.250    148.5724     -79.1970     22.6270     29.4682      28.5473      225.6920      2.5700       30.3180   
2552.375    149.5112     -79.3360     22.6270     29.0114      28.3605      227.1080      2.5650       30.1640   
2552.500    152.5625     -79.3990     22.6270     28.3954      27.9711      228.7380      2.5610       29.7870   
2552.625    153.1493     -79.4280     22.6270     27.6467      27.4597      230.0310      2.5530       29.4330   
2552.750    152.9146     -79.4430     22.6150     27.2227      27.1857      230.9230      2.5490       28.9500   
2552.875    150.4501     -79.4520     22.6390     26.9121      27.0232      231.5380      2.5590       28.3940   
2553.000    148.8071     -79.4670     22.6740     26.4705      26.7610      232.2620      2.5640       27.9450   
2553.125    148.2203     -79.4750     22.6860     25.6714      26.2201      233.2150      2.5760       27.9780   
2553.250    149.0418     -79.4750     22.6500     24.9744      25.6949      234.2460      2.5790       28.2420   
2553.375    147.7509     -79.4730     22.5680     24.3641      25.2072      235.1380      2.5730       28.8210   
2553.500    145.2864     -79.4860     22.4860     24.0625      25.0096      235.7230      2.5750       29.4740   
2553.625    145.0517     -79.5140     22.4500     24.0226      25.1602      235.6920      2.5730       29.8620   
2553.750    146.3427     -79.5590     22.4500     24.2766      25.6620      234.8460      2.5760       30.1840   
2553.875    148.6898     -79.6230     22.4620     24.8994      26.6378      233.5230      2.5770       30.1390   
2554.000    149.1592     -79.7130     22.4620     25.6793      27.7056      232.3230      2.5760       29.9850   
2554.125    148.2203     -79.8280     22.4860     26.4867      28.7559      231.4770      2.5720       30.0070   
2554.250    148.2203     -79.9670     22.5090     26.6238      28.9936      231.1230      2.5700       30.1140   
2554.375    148.2203     -80.1360     22.5210     26.2027      28.6173      231.1850      2.5620       29.9330   
2554.500    147.5162     -80.3320     22.5210     25.8962      28.3834      231.3540      2.5510       29.4230   
